ATC_code,applicant,composition,dosage_form,international_name,link_of_instruction,manufacturer,number_of_certificate,original,prescribed,registration_date,storage_list,term_of_usage,trade_name,validity
A15,"Калина ООО, Республика Беларусь",Appetite stimulants,"измельченное сырье  50г, 100г в пачке",Appetite stimulants,"https://rceth.by//NDfiles/instr/19_09_689_s.pdf,https://rceth.by//NDfiles/instr/19_09_689_p.pdf","Калина ООО, Республика Беларусь",19/09/689,генерик,без рецепта,12.09.2019,,2 года,ПОЛЫНИ ГОРЬКОЙ ТРАВА,бессрочно
L04AX06,"Нативита СООО, Республика Беларусь",Pomalidomide,"капсулы 1мг в банках №21 в упаковке №1,капсулы 2мг в банках №21 в упаковке №1,капсулы 3мг в банках №21 в упаковке №1,капсулы 4мг в банках №21 в упаковке №1",Pomalidomide,"https://rceth.by//NDfiles/instr/22_03_3230_s.pdf,https://rceth.by//NDfiles/instr/22_03_3230_p.pdf","Natco Pharma Ltd., Индия упаковано Нативита СООО, Республика Беларусь",22/03/3230,генерик,по рецепту,10.03.2022,,3 года,ПОМАЛИДОМИД,10.03.2027
D07CB01,"Tarchomin Pharmaceutical Works Polfa S.A., Польша",Triamcinolone and antibiotics,"аэрозоль для наружного применения (23,12мг+0,58мг)/г в баллонах 17,3г в упаковке №1",Triamcinolone and antibiotics,"https://rceth.by//NDfiles/instr/10318_15_20_p.pdf,https://rceth.by//NDfiles/instr/10318_15_20_s.pdf","Tarchomin Pharmaceutical Works Polfa S.A., Польша",10318/15/20,генерик,по рецепту,13.07.2020,,2 года,ПОЛЬКОДЕРМ ТЦ,бессрочно
V09DA04,"National Centre for Nuclear Research, Польша",Technetium (99mtc) mebrofenin,"лиофилизированный порошок для получения раствора 99mTc-MBrIDA для инъекций 20мг во флаконах в упаковке №3, №6",Technetium (99mtc) mebrofenin,https://rceth.by//NDfiles/instr/9339_10_12_15_20_i.pdf,"National Centre for Nuclear Research, Польша",9339/10/12/15/20,генерик,для стационаров,09.12.2020,,12 мес.,ПолтехМБрИДА,бессрочно
V09DB04,"National Centre for Nuclear Research, Польша",Technetium (99mTc) tin colloid,"лиофилизированный порошок для получения раствора для инъекций 0,17мг во флаконах в упаковке №3, №6",Technetium (99mTc) tin colloid,https://rceth.by//NDfiles/instr/5338_01_05_06_08_10_12_16_16_i.pdf,"National Centre for Nuclear Research, Польша",5338/01/05/06/08/10/12/16/16,оригинальное,для стационаров,08.11.2016,,12 мес.,ПолтехКОЛЛОИД,бессрочно
V09CA01,"National Centre for Nuclear Research, Польша",Technetium (99mTc) pentetic acid,"лиофилизированный порошок для получения раствора для инъекций 13,25мг во флаконах в упаковке №3, №6",Technetium (99mTc) pentetic acid,https://rceth.by//NDfiles/instr/5333_01_05_06_08_10_12_16_16_i.pdf,"National Centre for Nuclear Research, Польша",5333/01/05/06/08/10/12/16/16,генерик,для стационаров,29.11.2016,,12 мес.,ПолтехДТПА,бессрочно
V09CA02,"National Centre for Nuclear Research, Польша",Technetium (99mTc) succimer,"лиофилизированный порошок для получения раствора для инъекций 1мг во флаконах в упаковке №3, №6",Technetium (99mTc) succimer,https://rceth.by//NDfiles/instr/5334_01_05_06_08_10_12_16_16_i.pdf,"National Centre for Nuclear Research, Польша",5334/01/05/06/08/10/12/16/16,генерик,для стационаров,29.11.2016,,6 мес.,ПолтехДМСА,бессрочно
C09AA05,"Pharmaceutical Works POLPHARMA S.A., Польша",Ramipril,"капсулы 10мг в блистерах в упаковке №14х1, №14х2,капсулы 2,5мг в блистерах в упаковке №14х1, №14х2,капсулы 5мг в блистерах в упаковке №14х1, №14х2",Ramipril,"https://rceth.by//NDfiles/instr/10025_12_13_16_17_p.pdf,https://rceth.by//NDfiles/instr/10025_12_13_16_17_s.pdf","Pharmaceutical Works POLPHARMA S.A., Польша",10025/12/13/16/17,генерик,по рецепту,06.09.2017,,2 года,ПОЛПРИЛ,бессрочно
C03X,"Лектравы ЧАО, Украина",Other diuretics,"измельченное сырье  30г, 50г в пачке",Other diuretics,"https://rceth.by//NDfiles/instr/3953_99_05_10_15_18_19_p.pdf,https://rceth.by//NDfiles/instr/3953_99_05_10_15_18_19_s.pdf","Лектравы ЧАО, Украина",3953/99/05/10/15/18/19,генерик,без рецепта,27.06.2019,,3 года,ПОЛ-ПАЛА,бессрочно
C05AA,"Dr. Kade Pharmazeutische Fabrik GmbH, Германия",Corticosteroids,суппозитории ректальные  в блистерах в упаковке №5х2,Corticosteroids,https://rceth.by//NDfiles/instr/10014_95_02_07_12_19_i.pdf,"Dr. Kade Pharmazeutische Fabrik GmbH, Германия",10014/95/02/07/12/19,оригинальное,без рецепта,10.04.2019,,2 года,ПОСТЕРИЗАН ФОРТЕ,бессрочно
V09GA01,"National Centre for Nuclear Research, Польша",Technetium (99mTc) sestamibi,"лиофилизированный порошок для получения раствора для инъекций 1мг во флаконах в упаковке №3, №6",Technetium (99mTc) sestamibi,https://rceth.by//NDfiles/instr/5400_01_05_06_08_10_12_14_16_i.pdf,"National Centre for Nuclear Research, Польша",5400/01/05/06/08/10/12/14/16,оригинальное,для стационаров,08.11.2016,,12 мес.,ПолтехМИБИ,бессрочно
,"Белорусско-голландское совместное предприятие общество с ограниченной ответственностью Фармлэнд (СП ООО Фармлэнд), Республика Беларусь",Macrogol,субстанция,Macrogol,,"Dow Chemical Company, США",1648/12/17,,,16.10.2017,,3 года,ПОЛИЭТИЛЕНГЛИКОЛЬ (МАКРОГОЛ) 4000,бессрочно
,"Государственное предприятие АКАДЕМФАРМ, Республика Беларусь",Macrogol,субстанция,Macrogol,,"Merck KGaA, Германия",1533/11/12/13/17/18/21,не определено,,22.03.2017,,5 лет,ПОЛИЭТИЛЕНГЛИКОЛЬ (МАКРОГОЛ) 4000,бессрочно
V09BA02,"National Centre for Nuclear Research, Польша",Technetium (99mTc) medronic acid,"лиофилизированный порошок для получения раствора для инъекций 5мг во флаконах в упаковке №3, №6",Technetium (99mTc) medronic acid,https://rceth.by//NDfiles/instr/5336_01_05_06_08_10_12_16_16_i.pdf,"National Centre for Nuclear Research, Польша",5336/01/05/06/08/10/12/16/16,оригинальное,для стационаров,29.11.2016,,12 мес.,ПолтехМДП,бессрочно
L03AX,"НПО Петровакс Фарм ООО, Российская Федерация",Other immunostimulants,суппозитории вагинальные и ректальные 6мг в контурной ячейковой упаковке №5х2,Other immunostimulants,"https://rceth.by//NDfiles/instr/7473_05_10_13_16_17_20_21_p.pdf,https://rceth.by//NDfiles/instr/7473_05_10_13_16_17_20_21_s.pdf","НПО Петровакс Фарм ООО, Российская Федерация",7473/05/10/13/16/17/20/21,оригинальное,без рецепта,30.04.2021,,2 года,ПОЛИОКСИДОНИЙ,бессрочно
,"Рубикон ООО, Республика Беларусь",Pramipexole,субстанция,Pramipexole,,"Amino Chemicals Ltd., Мальта",2624/20,не определено,,19.11.2020,,5 лет,ПРАМИПЕКСОЛА ДИГИДРОХЛОРИД МОНОГИДРАТ,бессрочно
L03AX,"НПО Петровакс Фарм ООО, Российская Федерация",Other cytokines and immunomodulators,лиофилизат для приготовления раствора для инъекций и местного применения 6мг во флаконах в контурной ячейковой упаковке №5х1,Other cytokines and immunomodulators,"https://rceth.by//NDfiles/instr/7503_05_10_16_17_20_23_p.pdf,https://rceth.by//NDfiles/instr/7503_05_10_16_17_20_23_s.pdf","НПО Петровакс Фарм ООО, Российская Федерация",7503/05/10/16/17/20/23,оригинальное,по рецепту,01.02.2023,,3 года,ПОЛИОКСИДОНИЙ,бессрочно
L03AX,"НПО Петровакс Фарм ООО, Российская Федерация",Other immunostimulants,суппозитории вагинальные и ректальные 12мг в контурной ячейковой упаковке №5х2,Other immunostimulants,"https://rceth.by//NDfiles/instr/10504_16_18_20_21_p.pdf,https://rceth.by//NDfiles/instr/10504_16_18_20_21_s.pdf","НПО Петровакс Фарм ООО, Российская Федерация",10504/16/18/20/21,оригинальное,без рецепта,31.12.2021,,2 года,ПОЛИОКСИДОНИЙ,бессрочно
,"Государственное предприятие АКАДЕМФАРМ, Республика Беларусь",Macrogol,субстанция,Macrogol,,"Avesta Pharma Pvt. Ltd., Индия",2397/18/21,не определено,,30.05.2018,,3 года,ПОЛИЭТИЛЕНГЛИКОЛЬ (МАКРОГОЛ) 4000,бессрочно
V09FX01,"National Centre for Nuclear Research, Польша",Technetium (99mTc) pertechnetate,"генератор радионуклидов 8,0-175ГБк на дату производства, 2,3-50ГБк на дату калибрации  в комплекте: набор для элюирования: 16 флаконов с элюентом (0,9% раствор натрия хлорида), 16 вакуумированных флаконов для сбора элюата",Technetium (99mTc) pertechnetate,"https://rceth.by//NDfiles/instr/11058_21_p.pdf,https://rceth.by//NDfiles/instr/11058_21_s.pdf","National Centre for Nuclear Research, Польша",11058/21,генерик,для стационаров,09.11.2021,,21 день,ПОЛТЕХНЕТ,09.11.2026
